stationid,stationnumber,stationname,address1,address2,address3,address4,city,state,zip,lat,long_
559,358,Manila,VAOPC,1501 Roxas Blvd,,,Pasay City 1302,PI,,14.6368,121.04
1,402,Maine VA HCS,VAMC,1 VA Center,,,Augusta,ME,04330,44.2993,-69.7331
2,402GA,Aroostook County (Caribou),,163 Van Buren Road,Suite 6,,Caribou,ME,04736,46.8791,-68.0105
1133,402GB,Calais,,50 Union Street,,,Calais,ME,04619,45.1894,-67.2801
31,402GC,Rumford,Rumford VA Clinic,431 Franklin Street,,,Rumford,ME,04276,44.5517,-70.5574
841,402GD,Saco,,655 Main Street,,,Saco,ME,04072,43.5145,-70.4295
1350,402GE,Lewiston-Auburn Area,,15 Challenger Drive,,,Lewiston,ME,04240,,
3,402HB,Bangor,,35 State Hospital Street,,,Bangor,ME,04401,44.8031,-68.7599
4,402HC,Portland,Portland VA Mental Health Clinic,144 Fore Street,Suite 200,,Portland,ME,04101,43.6658,-70.2521
1393,402HL,Rural and Community Healthcare,,,,,,,,,
5,405,White River Jct,VAMC,215 N. Main St.,,,White River Junction,VT,05009,43.6488,-72.3197
32,405GA,Bennington,VA Bennington Clinic,186 North Street,,,Bennington,VT,05201,42.8849,-73.202
1395,405GC,Brattleboro,,71 GSP Drive,,,Brattleboro,VT,05301,,
6,405HA,Colchester,Colchester CBOC,162 Hegeman Ave.,Unit 100,,Colchester,VT,05446,44.5019,-73.1537
7,405HC,VICC - St. Johnsbury - Littleton,,685 Meadow Street,Suite 4,,Littleton,NH,03561,44.3168,-71.8245
,405HC01,VICC - Littleton,,141 Railroad Street,,,St. Johnsbury,VT,5819,,
1163,405HF,Rutland,,215 Stratton Road,,,Rutland,VT,05701,43.604,-72.9562
513,436,Montana HCS,VA Montana HCS Ft. Harrison MT Div.,3687 Veterans Drive,,,Fort Harrison,MT,59636,46.601,-112.093
515,436GA,Anaconda,Anaconda Primary Care Clinic,118 EAST 7TH STREET,,,ANACONDA,MT,59711,46.1244,-112.954
516,436GB,Great Falls,Great Falls Primary Care Clinic,1417 9th Street S.,Suite 200,,GREAT FALLS,MT,59405,47.4899,-111.292
517,436GC,Missoula,Missoula Primary Clinic Clinic,2687 Palmer Street,Suite C,,MISSOULA,MT,59808,46.8868,-114.03
518,436GD,Bozeman,BOZEMAN PRIMARY CARE CLINIC,300 NORTH WILSON,SUITE 703G,,BOZEMAN,MT,59715,45.6821,-111.039
520,436GF,Kalispell,Kalispell Primary Care Clinic,31  3 Mile Drive,,,Kalispell,MT,59901,48.2115,-114.332
519,436GH,Billings,BILLINGS COMMUNITY BASED CLINIC,2345 KING AVENUE WEST,,,BILLINGS,MT,59102,45.7553,-108.574
,436GH01,Billings,BILLINGS COMMUNITY BASED CLINIC,1775 Spring Creek Lane,,,Billings,MT,59102,,
709,436GI,Glasgow,Glasgow CBOC,630 2nd Avenue South,Suite A,,Glasgow,MT,59230,48.1895,-106.637
514,436GJ,Miles City,VA Montana HCS VAMC Miles City MT Div,210 South Winchester,,,Miles City,MT,59301,46.4072,-105.83
1036,436GK,Glendive Montana,Eastern Montona Veterans Home,2000 Montana Ave.,,,Glendive,MT,59330,47.1254,-104.69
1246,436GL,Cut Bank,Glacier Community Health Center,8 Second Ave NE,,,Cut Bank,MT,59427,,
1247,436GM,Lewistown,,629 NE Main Street,,,Lewistown,MT,59457,,
